3091089183432,10,15,990,990,0,0,0,353
3091088740552,14,1,990,637,0,353,1,401
3091089183432,10,15,637,589,353,401,2,632
3091088740552,14,1,589,5,401,985,3,589
3091088740552,3,15,1995,0,0,0,4,1266
3091089183432,8,10,0,729,0,1266,5,0
2161527476936,6,18,990,990,0,0,0,363
2161527034056,1,17,990,627,0,363,1,852
2161527034056,17,5,1363,617,0,0,2,451
2161527476936,9,4,617,912,0,451,3,501
2161527034056,17,5,912,116,451,501,4,549
2161527476936,9,4,116,363,501,1000,5,116
2161527476936,4,19,1627,353,0,0,6,448
2161527034056,20,15,353,1179,0,448,7,353
2161527034056,17,10,811,1169,0,0,8,189
2161527476936,9,12,1169,622,0,189,9,1087
2161527476936,15,9,1368,612,0,0,10,649
2161527034056,17,19,612,719,0,649,11,612
2161527034056,6,14,1271,709,0,0,12,468
2161527476936,5,2,709,803,0,468,13,578
2161527034056,6,14,803,131,468,578,14,636
2161527476936,5,2,131,167,578,1104,15,131
2161527476936,7,13,1823,157,0,0,16,1103
2161527476936,6,15,1833,147,0,0,17,1627
2161527034056,10,3,147,206,0,1627,18,147
2161527034056,2,5,1784,196,0,0,19,1452
2161527034056,12,11,1794,186,0,0,20,1069
2161527034056,7,4,1804,176,0,0,21,1463
2161527034056,1,8,1814,166,0,0,22,10
2161527476936,14,18,166,1804,0,10,23,91
2161527034056,1,8,1804,75,10,91,24,172
2161527476936,14,18,75,1632,91,182,25,75
2465124045512,8,11,990,990,0,0,0,917
2465123602632,12,13,990,73,0,917,1,963
2465123602632,11,10,1917,63,0,0,2,58
2465124045512,5,15,63,1859,0,58,3,59
2465123602632,11,10,1859,4,58,59,4,1851
2465124045512,5,15,4,8,59,1909,5,4
2728916275912,18,11,990,990,0,0,0,986
2728915833032,5,7,990,4,0,986,1,989
2728915833032,2,15,1996,0,0,0,2,1255
2728916275912,7,11,0,741,0,1255,3,0
2728916275912,5,7,1245,731,0,0,4,9
2728915833032,1,2,731,1236,0,9,5,114
2728916275912,5,7,1236,617,9,114,6,789
2728916275912,14,10,1369,607,0,0,7,43
2728915833032,17,18,607,1326,0,43,8,591
2728916275912,14,10,1326,16,43,591,9,787
2728916275912,19,16,1970,6,0,0,10,544
2728915833032,2,20,6,1426,0,544,11,6
2045686633160,16,15,990,990,0,0,0,130
2045686190280,13,17,990,860,0,130,1,131
2045686633160,16,15,860,859,130,131,2,175
2045686190280,13,17,859,685,131,305,3,185
2045686633160,16,15,685,674,305,316,4,499
2045686190280,13,17,674,186,316,804,5,552
2045686190280,10,2,1804,176,0,0,6,474
2045686190280,18,9,1814,166,0,0,7,1321
2045686190280,14,8,1824,156,0,0,8,400
2045686633160,6,1,156,1424,0,400,9,156
2045686633160,20,5,566,1414,0,0,10,539
2045686190280,6,10,1414,27,0,539,11,1162
2045686190280,17,1,1963,17,0,0,12,537
2045686633160,2,16,17,1426,0,537,13,17
1321515602632,19,11,990,990,0,0,0,896
1321515159752,3,15,990,94,0,896,1,914
1321515602632,19,11,94,76,896,914,2,94
1745005433544,4,16,990,990,0,0,0,666
1745004990664,17,2,990,324,0,666,1,804
1745005433544,4,16,324,186,666,804,2,324
1928035488456,2,9,990,990,0,0,0,36
1928035045576,18,15,990,954,0,36,1,555
1928035488456,2,9,954,435,36,555,2,801
1928035045576,18,15,435,153,555,837,3,435
1928035045576,3,13,1837,143,0,0,4,1482
1928035045576,16,10,1847,133,0,0,5,927
1928035045576,4,19,1857,123,0,0,6,1787
1928035045576,12,10,1867,113,0,0,7,972
1928035488456,1,9,113,895,0,972,8,113
1878009434824,8,6,990,990,0,0,0,734
1878008991944,1,14,990,256,0,734,1,940
1878009434824,8,6,256,50,734,940,2,256
2586128863944,16,18,990,990,0,0,0,981
2586128421064,13,17,990,9,0,981,1,989
2586128421064,2,19,1991,0,0,0,2,1779
2636134863560,8,17,990,990,0,0,0,815
2636134420680,7,15,990,175,0,815,1,879
2636134863560,8,17,175,111,815,879,2,175
2636134863560,5,2,1879,101,0,0,3,1563
2636134420680,7,18,101,316,0,1563,4,101
1930746122952,14,3,990,990,0,0,0,803
1930745680072,20,18,990,187,0,803,1,825
1930746122952,14,3,187,165,803,825,2,187
2316394549960,3,1,990,990,0,0,0,473
2316394107080,19,7,990,517,0,473,1,806
2316394107080,19,3,1473,507,0,0,2,1180
2316394107080,6,18,1483,497,0,0,3,1340
2316394549960,16,9,497,143,0,1340,4,497
